t,Pi_x,Pi_y,Pi_z,omega_x,omega_y,omega_z, x, y, z, P_x, P_y, P_z, v_x, v_y, v_z, SO3_err
0,15,-42,12,0.5,-0.5,0.4,7e+06,0,0,0,1.5e+06,0,0,7500,0,0
0.1,13.8596,-42,13.3008,0.461986,-0.5,0.443361,7e+06,750,0,-162.694,1.5e+06,0,-0.813469,7500,0,1.14859e-16
0.2,12.6068,-42,14.4938,0.420225,-0.5,0.483126,7e+06,1500,0,-325.388,1.5e+06,0,-1.62694,7500,0,2.5514e-16
0.3,11.2517,-42,15.5692,0.375056,-0.5,0.518973,7e+06,2250,0,-488.082,1.5e+06,0,-2.44041,7500,0,5.58592e-16
0.4,9.80536,-42,16.5183,0.326845,-0.5,0.55061,7e+06,3000,0,-650.775,1.5e+06,0,-3.25388,7500,0,5.2261e-16
0.5,8.27951,-42,17.3335,0.275984,-0.5,0.577782,7e+06,3750,0,-813.469,1.5e+06,0,-4.06735,7500,0,3.5774e-16
0.6,6.68651,-42,18.0081,0.222884,-0.5,0.600268,7e+06,4500,0,-976.163,1.5e+06,0,-4.88082,7500,0,6.03325e-16
0.7,5.03928,-42,18.5366,0.167976,-0.5,0.617886,7e+06,5250,0,-1138.86,1.5e+06,0,-5.69428,7500,0,5.41412e-16
0.8,3.35118,-42,18.9148,0.111706,-0.5,0.630492,7e+06,6000,0,-1301.55,1.5e+06,0,-6.50775,7500,0,6.38981e-16
0.9,1.6359,-42,19.1396,0.05453,-0.5,0.637985,7e+06,6750,0,-1464.24,1.5e+06,0,-7.32122,7500,0,5.91477e-16
1,-0.0926453,-42,19.2091,-0.00308818,-0.5,0.640304,7e+06,7500,0,-1626.94,1.5e+06,0,-8.13469,7500,0,7.38071e-16
1.1,-1.82044,-42,19.1229,-0.0606814,-0.5,0.637429,7e+06,8250,0,-1789.63,1.5e+06,0,-8.94816,7499.99,0,8.35035e-16
1.2,-3.53347,-42,18.8815,-0.117782,-0.5,0.629385,7e+06,9000,0,-1952.33,1.5e+06,0,-9.76163,7499.99,0,9.31975e-16
1.3,-5.21785,-42,18.4871,-0.173928,-0.5,0.616236,6.99999e+06,9750,0,-2115.02,1.5e+06,0,-10.5751,7499.99,0,7.97897e-16
1.4,-6.8599,-42,17.9427,-0.228663,-0.5,0.598089,6.99999e+06,10500,0,-2277.71,1.5e+06,0,-11.3886,7499.99,0,8.28261e-16
1.5,-8.44632,-42,17.2527,-0.281544,-0.5,0.575091,6.99999e+06,11250,0,-2440.41,1.5e+06,0,-12.202,7499.99,0,1.02094e-15
1.6,-9.96424,-42,16.4229,-0.332141,-0.5,0.54743,6.99999e+06,12000,0,-2603.1,1.5e+06,0,-13.0155,7499.99,0,1.07425e-15
1.7,-11.4013,-42,15.4598,-0.380045,-0.5,0.515328,6.99999e+06,12750,0,-2765.79,1.5e+06,0,-13.829,7499.99,0,1.06922e-15
1.8,-12.746,-42,14.3714,-0.424866,-0.5,0.479047,6.99999e+06,13500,0,-2928.49,1.5e+06,0,-14.6424,7499.99,0,1.01829e-15
1.9,-13.9872,-42,13.1664,-0.466241,-0.5,0.438881,6.99999e+06,14250,0,-3091.18,1.5e+06,0,-15.4559,7499.98,0,1.10256e-15
2,-15.1151,-42,11.8547,-0.503835,-0.5,0.395155,6.99999e+06,15000,0,-3253.87,1.5e+06,0,-16.2694,7499.98,0,1.29948e-15
2.1,-16.1203,-42,10.4467,-0.537343,-0.5,0.348225,6.99998e+06,15750,0,-3416.57,1.5e+06,0,-17.0828,7499.98,0,1.13289e-15
2.2,-16.9948,-42,8.95411,-0.566493,-0.5,0.29847,6.99998e+06,16500,0,-3579.26,1.5e+06,0,-17.8963,7499.98,0,1.08211e-15
2.3,-17.7314,-42,7.38884,-0.591048,-0.5,0.246295,6.99998e+06,17250,0,-3741.95,1.5e+06,0,-18.7098,7499.98,0,1.09766e-15
2.4,-18.3243,-42,5.76365,-0.610809,-0.5,0.192122,6.99998e+06,18000,0,-3904.65,1.49999e+06,0,-19.5232,7499.97,0,9.34873e-16
2.5,-18.7685,-42,4.09172,-0.625617,-0.5,0.136391,6.99998e+06,18750,0,-4067.34,1.49999e+06,0,-20.3367,7499.97,0,1.02677e-15
2.6,-19.0605,-42,2.3866,-0.635351,-0.5,0.0795533,6.99997e+06,19500,0,-4230.03,1.49999e+06,0,-21.1502,7499.97,0,1.25871e-15
2.7,-19.198,-42,0.662123,-0.639932,-0.5,0.0220708,6.99997e+06,20250,0,-4392.73,1.49999e+06,0,-21.9636,7499.97,0,1.22911e-15
2.8,-19.1797,-42,-1.06772,-0.639322,-0.5,-0.0355908,6.99997e+06,21000,0,-4555.42,1.49999e+06,0,-22.7771,7499.97,0,1.26646e-15
2.9,-19.0058,-42,-2.78891,-0.633528,-0.5,-0.0929637,6.99997e+06,21750,0,-4718.11,1.49999e+06,0,-23.5906,7499.96,0,1.16309e-15
3,-18.6779,-42,-4.48748,-0.622595,-0.5,-0.149583,6.99997e+06,22500,0,-4880.81,1.49999e+06,0,-24.404,7499.96,0,1.4207e-15
3.1,-18.1984,-42,-6.14966,-0.606613,-0.5,-0.204989,6.99996e+06,23250,0,-5043.5,1.49999e+06,0,-25.2175,7499.96,0,1.18084e-15
3.2,-17.5713,-42,-7.76196,-0.585711,-0.5,-0.258732,6.99996e+06,24000,0,-5206.19,1.49999e+06,0,-26.031,7499.96,0,1.22125e-15
3.3,-16.8018,-42,-9.3113,-0.560059,-0.5,-0.310377,6.99996e+06,24750,0,-5368.88,1.49999e+06,0,-26.8444,7499.95,0,1.37999e-15
3.4,-15.8959,-42,-10.7851,-0.529865,-0.5,-0.359504,6.99996e+06,25499.9,0,-5531.58,1.49999e+06,0,-27.6579,7499.95,0,1.41744e-15
3.5,-14.8612,-42,-12.1715,-0.495373,-0.5,-0.405716,6.99995e+06,26249.9,0,-5694.27,1.49999e+06,0,-28.4714,7499.95,0,1.50854e-15
3.6,-13.7059,-42,-13.4591,-0.456863,-0.5,-0.448638,6.99995e+06,26999.9,0,-5856.96,1.49999e+06,0,-29.2848,7499.94,0,1.14641e-15
3.7,-12.4394,-42,-14.6376,-0.414648,-0.5,-0.487921,6.99995e+06,27749.9,0,-6019.66,1.49999e+06,0,-30.0983,7499.94,0,1.32589e-15
3.8,-11.0721,-42,-15.6974,-0.36907,-0.5,-0.523247,6.99994e+06,28499.9,0,-6182.35,1.49999e+06,0,-30.9117,7499.94,0,1.34048e-15
3.9,-9.61498,-42,-16.6299,-0.320499,-0.5,-0.554329,6.99994e+06,29249.9,0,-6345.04,1.49999e+06,0,-31.7252,7499.93,0,1.23395e-15
4,-8.07987,-42,-17.4274,-0.269329,-0.5,-0.580915,6.99994e+06,29999.9,0,-6507.73,1.49999e+06,0,-32.5387,7499.93,0,1.16314e-15
4.1,-6.47922,-42,-18.0837,-0.215974,-0.5,-0.602789,6.99993e+06,30749.9,0,-6670.42,1.49999e+06,0,-33.3521,7499.93,0,1.58276e-15
4.2,-4.82603,-42,-18.5933,-0.160868,-0.5,-0.619775,6.99993e+06,31499.9,0,-6833.12,1.49998e+06,0,-34.1656,7499.92,0,1.19241e-15
4.3,-3.1337,-42,-18.952,-0.104457,-0.5,-0.631735,6.99993e+06,32249.9,0,-6995.81,1.49998e+06,0,-34.979,7499.92,0,1.25561e-15
4.4,-1.41596,-42,-19.1571,-0.0471985,-0.5,-0.63857,6.99992e+06,32999.9,0,-7158.5,1.49998e+06,0,-35.7925,7499.92,0,1.2354e-15
4.5,0.313275,-42,-19.2068,0.0104425,-0.5,-0.640227,6.99992e+06,33749.9,0,-7321.19,1.49998e+06,0,-36.606,7499.91,0,1.24317e-15
