t,Pi_x,Pi_y,Pi_z,omega_x,omega_y,omega_z,e3_R_Pi,SO3_err
0,0.5,-1.4,0.8,0.5,-0.5,0.4,0.8,0
0.001,0.499837,-1.3998,0.80045,0.499837,-0.499928,0.400225,0.8,3.17975e-16
0.002,0.49967,-1.39959,0.8009,0.49967,-0.499854,0.40045,0.8,3.15871e-16
0.003,0.499497,-1.39938,0.801349,0.499497,-0.499778,0.400675,0.8,2.50089e-16
0.004,0.49932,-1.39916,0.801798,0.49932,-0.4997,0.400899,0.8,4.4478e-16
0.005,0.499137,-1.39894,0.802247,0.499137,-0.49962,0.401124,0.8,4.60193e-16
0.006,0.498949,-1.39871,0.802696,0.498949,-0.499539,0.401348,0.8,4.62336e-16
0.007,0.498756,-1.39848,0.803145,0.498756,-0.499456,0.401572,0.8,7.11294e-16
0.008,0.498558,-1.39824,0.803593,0.498558,-0.499371,0.401796,0.8,7.11797e-16
0.009,0.498355,-1.398,0.804041,0.498355,-0.499284,0.40202,0.8,8.0211e-16
0.01,0.498147,-1.39775,0.804489,0.498147,-0.499196,0.402244,0.8,8.01708e-16
0.011,0.497934,-1.39749,0.804936,0.497934,-0.499105,0.402468,0.8,8.05137e-16
0.012,0.497716,-1.39724,0.805383,0.497716,-0.499013,0.402692,0.8,7.27436e-16
0.013,0.497493,-1.39697,0.80583,0.497493,-0.498919,0.402915,0.8,7.25611e-16
0.014,0.497265,-1.39671,0.806277,0.497265,-0.498823,0.403138,0.8,9.69629e-16
0.015,0.497032,-1.39643,0.806723,0.497032,-0.498726,0.403362,0.8,1.17401e-15
0.016,0.496794,-1.39615,0.807169,0.496794,-0.498627,0.403585,0.8,7.45009e-16
0.017,0.496551,-1.39587,0.807615,0.496551,-0.498525,0.403807,0.8,7.76986e-16
0.018,0.496304,-1.39558,0.80806,0.496304,-0.498423,0.40403,0.8,9.47772e-16
0.019,0.496051,-1.39529,0.808505,0.496051,-0.498318,0.404253,0.8,8.53246e-16
0.02,0.495793,-1.39499,0.80895,0.495793,-0.498211,0.404475,0.8,1.06465e-15
0.021,0.49553,-1.39469,0.809395,0.49553,-0.498103,0.404697,0.8,8.95164e-16
0.022,0.495262,-1.39438,0.809839,0.495262,-0.497993,0.404919,0.8,6.76876e-16
0.023,0.494989,-1.39407,0.810283,0.494989,-0.497881,0.405141,0.8,8.94356e-16
0.024,0.494711,-1.39375,0.810726,0.494711,-0.497767,0.405363,0.8,1.1033e-15
0.025,0.494429,-1.39342,0.811169,0.494429,-0.497652,0.405585,0.8,1.19048e-15
0.026,0.494141,-1.3931,0.811612,0.494141,-0.497534,0.405806,0.8,1.4977e-15
0.027,0.493848,-1.39276,0.812054,0.493848,-0.497415,0.406027,0.8,1.37941e-15
0.028,0.493551,-1.39242,0.812496,0.493551,-0.497295,0.406248,0.8,1.47433e-15
0.029,0.493248,-1.39208,0.812938,0.493248,-0.497172,0.406469,0.8,1.18897e-15
0.03,0.492941,-1.39173,0.813379,0.492941,-0.497047,0.406689,0.8,1.44178e-15
0.031,0.492629,-1.39138,0.81382,0.492629,-0.496921,0.40691,0.8,1.34878e-15
0.032,0.492311,-1.39102,0.81426,0.492311,-0.496793,0.40713,0.8,1.56811e-15
0.033,0.491989,-1.39066,0.8147,0.491989,-0.496663,0.40735,0.8,1.65881e-15
0.034,0.491662,-1.39029,0.81514,0.491662,-0.496532,0.40757,0.8,1.70434e-15
0.035,0.49133,-1.38992,0.815579,0.49133,-0.496398,0.40779,0.8,1.8321e-15
0.036,0.490994,-1.38954,0.816018,0.490994,-0.496263,0.408009,0.8,1.69903e-15
0.037,0.490652,-1.38915,0.816456,0.490652,-0.496126,0.408228,0.8,1.88904e-15
0.038,0.490305,-1.38876,0.816894,0.490305,-0.495987,0.408447,0.8,1.83253e-15
0.039,0.489954,-1.38837,0.817332,0.489954,-0.495847,0.408666,0.8,1.82996e-15
0.04,0.489598,-1.38797,0.817769,0.489598,-0.495705,0.408884,0.8,2.24744e-15
0.041,0.489237,-1.38757,0.818205,0.489237,-0.49556,0.409103,0.8,1.96377e-15
0.042,0.488871,-1.38716,0.818642,0.488871,-0.495415,0.409321,0.8,1.86387e-15
0.043,0.4885,-1.38675,0.819077,0.4885,-0.495267,0.409539,0.8,2.10108e-15
0.044,0.488124,-1.38633,0.819513,0.488124,-0.495117,0.409756,0.8,1.86584e-15
0.045,0.487744,-1.38591,0.819947,0.487744,-0.494966,0.409974,0.8,2.09002e-15
0.046,0.487359,-1.38548,0.820382,0.487359,-0.494813,0.410191,0.8,2.07077e-15
0.047,0.486968,-1.38504,0.820816,0.486968,-0.494658,0.410408,0.8,2.17374e-15
0.048,0.486574,-1.38461,0.821249,0.486574,-0.494502,0.410624,0.8,2.16512e-15
0.049,0.486174,-1.38416,0.821682,0.486174,-0.494343,0.410841,0.8,1.97494e-15
0.05,0.485769,-1.38371,0.822114,0.485769,-0.494183,0.411057,0.8,1.65591e-15
0.051,0.48536,-1.38326,0.822546,0.48536,-0.494021,0.411273,0.8,1.74022e-15
0.052,0.484946,-1.3828,0.822977,0.484946,-0.493858,0.411489,0.8,1.75791e-15
0.053,0.484527,-1.38234,0.823408,0.484527,-0.493692,0.411704,0.8,1.66803e-15
0.054,0.484104,-1.38187,0.823838,0.484104,-0.493525,0.411919,0.8,1.51337e-15
0.055,0.483675,-1.3814,0.824268,0.483675,-0.493356,0.412134,0.8,1.69778e-15
0.056,0.483242,-1.38092,0.824698,0.483242,-0.493185,0.412349,0.8,1.95285e-15
0.057,0.482805,-1.38044,0.825126,0.482805,-0.493013,0.412563,0.8,1.86951e-15
0.058,0.482362,-1.37995,0.825554,0.482362,-0.492838,0.412777,0.8,2.06706e-15
0.059,0.481915,-1.37945,0.825982,0.481915,-0.492662,0.412991,0.8,1.9807e-15
0.06,0.481463,-1.37896,0.826409,0.481463,-0.492484,0.413205,0.8,1.97894e-15
0.061,0.481006,-1.37845,0.826836,0.481006,-0.492305,0.413418,0.8,1.79418e-15
0.062,0.480545,-1.37795,0.827262,0.480545,-0.492123,0.413631,0.8,1.80681e-15
0.063,0.480079,-1.37743,0.827687,0.480079,-0.49194,0.413844,0.8,1.61342e-15
0.064,0.479608,-1.37691,0.828112,0.479608,-0.491755,0.414056,0.8,1.56438e-15
0.065,0.479132,-1.37639,0.828536,0.479132,-0.491568,0.414268,0.8,1.22519e-15
0.066,0.478652,-1.37586,0.82896,0.478652,-0.49138,0.41448,0.8,1.12321e-15
0.067,0.478167,-1.37533,0.829383,0.478167,-0.49119,0.414691,0.8,1.07498e-15
0.068,0.477678,-1.37479,0.829805,0.477678,-0.490998,0.414903,0.8,1.04879e-15
0.069,0.477184,-1.37425,0.830227,0.477184,-0.490804,0.415114,0.8,1.33979e-15
0.07,0.476685,-1.3737,0.830648,0.476685,-0.490608,0.415324,0.8,1.2392e-15
0.071,0.476182,-1.37315,0.831069,0.476182,-0.490411,0.415535,0.8,1.4359e-15
0.072,0.475674,-1.37259,0.831489,0.475674,-0.490212,0.415745,0.8,1.45643e-15
0.073,0.475161,-1.37203,0.831909,0.475161,-0.490011,0.415954,0.8,1.60864e-15
0.074,0.474644,-1.37146,0.832327,0.474644,-0.489809,0.416164,0.8,1.84119e-15
0.075,0.474122,-1.37089,0.832745,0.474122,-0.489604,0.416373,0.8,1.68654e-15
0.076,0.473596,-1.37031,0.833163,0.473596,-0.489398,0.416581,0.8,1.77642e-15
0.077,0.473065,-1.36973,0.83358,0.473065,-0.48919,0.41679,0.8,1.48642e-15
0.078,0.472529,-1.36915,0.833996,0.472529,-0.488981,0.416998,0.8,1.29997e-15
0.079,0.471989,-1.36855,0.834412,0.471989,-0.488769,0.417206,0.8,1.15483e-15
0.08,0.471444,-1.36796,0.834827,0.471444,-0.488556,0.417413,0.8,1.05781e-15
0.081,0.470895,-1.36736,0.835241,0.470895,-0.488341,0.41762,0.8,1.15618e-15
0.082,0.470341,-1.36675,0.835654,0.470341,-0.488125,0.417827,0.8,1.03822e-15
0.083,0.469783,-1.36614,0.836067,0.469783,-0.487906,0.418034,0.8,1.0326e-15
0.084,0.46922,-1.36552,0.83648,0.46922,-0.487686,0.41824,0.8,1.10329e-15
0.085,0.468653,-1.3649,0.836891,0.468653,-0.487464,0.418446,0.8,1.10851e-15
0.086,0.468081,-1.36427,0.837302,0.468081,-0.487241,0.418651,0.8,1.12443e-15
0.087,0.467505,-1.36364,0.837712,0.467505,-0.487015,0.418856,0.8,1.26312e-15
0.088,0.466924,-1.36301,0.838122,0.466924,-0.486788,0.419061,0.8,1.29348e-15
0.089,0.466338,-1.36237,0.83853,0.466338,-0.486559,0.419265,0.8,1.40182e-15
0.09,0.465749,-1.36172,0.838939,0.465749,-0.486329,0.419469,0.8,1.53865e-15
0.091,0.465154,-1.36107,0.839346,0.465154,-0.486096,0.419673,0.8,1.60095e-15
0.092,0.464556,-1.36041,0.839752,0.464556,-0.485862,0.419876,0.8,1.33208e-15
0.093,0.463953,-1.35975,0.840158,0.463953,-0.485626,0.420079,0.8,1.31002e-15
0.094,0.463345,-1.35909,0.840564,0.463345,-0.485389,0.420282,0.8,1.33625e-15
0.095,0.462733,-1.35842,0.840968,0.462733,-0.48515,0.420484,0.8,1.41613e-15
0.096,0.462117,-1.35774,0.841372,0.462117,-0.484909,0.420686,0.8,1.17716e-15
0.097,0.461496,-1.35706,0.841775,0.461496,-0.484666,0.420887,0.8,1.24875e-15
0.098,0.460871,-1.35638,0.842177,0.460871,-0.484421,0.421089,0.8,1.23917e-15
0.099,0.460241,-1.35569,0.842578,0.460241,-0.484175,0.421289,0.8,1.38924e-15
0.1,0.459607,-1.355,0.842979,0.459607,-0.483927,0.42149,0.8,1.38271e-15
0.101,0.458969,-1.3543,0.843379,0.458969,-0.483677,0.42169,0.8,1.47484e-15
0.102,0.458326,-1.35359,0.843778,0.458326,-0.483426,0.421889,0.8,1.53879e-15
0.103,0.457679,-1.35288,0.844177,0.457679,-0.483173,0.422088,0.8,1.30168e-15
0.104,0.457028,-1.35217,0.844574,0.457028,-0.482918,0.422287,0.8,1.32068e-15
0.105,0.456372,-1.35145,0.844971,0.456372,-0.482661,0.422486,0.8,1.31183e-15
0.106,0.455712,-1.35073,0.845367,0.455712,-0.482403,0.422684,0.8,1.23469e-15
0.107,0.455048,-1.35,0.845763,0.455048,-0.482143,0.422881,0.8,1.08207e-15
0.108,0.454379,-1.34927,0.846157,0.454379,-0.481881,0.423079,0.8,1.18684e-15
0.109,0.453706,-1.34853,0.846551,0.453706,-0.481617,0.423276,0.8,1.15295e-15
0.11,0.453029,-1.34779,0.846944,0.453029,-0.481352,0.423472,0.8,1.45412e-15
0.111,0.452347,-1.34704,0.847336,0.452347,-0.481085,0.423668,0.8,1.26338e-15
0.112,0.451662,-1.34629,0.847727,0.451662,-0.480816,0.423864,0.8,1.20382e-15
0.113,0.450972,-1.34553,0.848118,0.450972,-0.480546,0.424059,0.8,1.12891e-15
0.114,0.450277,-1.34477,0.848508,0.450277,-0.480274,0.424254,0.8,9.71396e-16
0.115,0.449579,-1.344,0.848896,0.449579,-0.48,0.424448,0.8,1.10289e-15
0.116,0.448876,-1.34323,0.849284,0.448876,-0.479724,0.424642,0.8,1.17126e-15
0.117,0.448169,-1.34245,0.849672,0.448169,-0.479447,0.424836,0.8,1.32639e-15
0.118,0.447458,-1.34167,0.850058,0.447458,-0.479168,0.425029,0.8,1.49314e-15
0.119,0.446743,-1.34088,0.850443,0.446743,-0.478887,0.425222,0.8,1.43394e-15
0.12,0.446024,-1.34009,0.850828,0.446024,-0.478605,0.425414,0.8,1.37557e-15
0.121,0.4453,-1.3393,0.851212,0.4453,-0.478321,0.425606,0.8,1.31952e-15
0.122,0.444572,-1.3385,0.851595,0.444572,-0.478035,0.425797,0.8,1.40569e-15
0.123,0.44384,-1.33769,0.851977,0.44384,-0.477747,0.425989,0.8,1.40125e-15
0.124,0.443104,-1.33688,0.852358,0.443104,-0.477458,0.426179,0.8,1.45793e-15
0.125,0.442364,-1.33607,0.852739,0.442364,-0.477167,0.426369,0.8,1.54339e-15
0.126,0.44162,-1.33525,0.853118,0.44162,-0.476875,0.426559,0.8,1.46793e-15
0.127,0.440872,-1.33442,0.853497,0.440872,-0.47658,0.426748,0.8,1.46365e-15
0.128,0.440119,-1.3336,0.853875,0.440119,-0.476284,0.426937,0.8,1.41461e-15
0.129,0.439363,-1.33276,0.854251,0.439363,-0.475986,0.427126,0.8,1.39795e-15
0.13,0.438602,-1.33192,0.854627,0.438602,-0.475687,0.427314,0.8,1.59905e-15
0.131,0.437837,-1.33108,0.855003,0.437837,-0.475386,0.427501,0.8,1.62495e-15
0.132,0.437069,-1.33023,0.855377,0.437069,-0.475083,0.427688,0.8,1.36984e-15
0.133,0.436296,-1.32938,0.85575,0.436296,-0.474778,0.427875,0.8,1.39833e-15
0.134,0.435519,-1.32852,0.856122,0.435519,-0.474472,0.428061,0.8,1.31378e-15
0.135,0.434738,-1.32766,0.856494,0.434738,-0.474164,0.428247,0.8,1.52602e-15
0.136,0.433954,-1.32679,0.856865,0.433954,-0.473855,0.428432,0.8,1.32264e-15
0.137,0.433165,-1.32592,0.857234,0.433165,-0.473543,0.428617,0.8,1.45802e-15
0.138,0.432372,-1.32504,0.857603,0.432372,-0.47323,0.428802,0.8,1.2919e-15
0.139,0.431575,-1.32416,0.857971,0.431575,-0.472916,0.428985,0.8,1.14706e-15
0.14,0.430775,-1.32328,0.858338,0.430775,-0.472599,0.429169,0.8,1.1045e-15
0.141,0.42997,-1.32239,0.858704,0.42997,-0.472281,0.429352,0.8,1.14882e-15
0.142,0.429162,-1.32149,0.859069,0.429162,-0.471961,0.429534,0.8,1.24447e-15
0.143,0.428349,-1.32059,0.859433,0.428349,-0.47164,0.429716,0.8,1.2175e-15
0.144,0.427533,-1.31969,0.859796,0.427533,-0.471317,0.429898,0.8,1.22302e-15
0.145,0.426712,-1.31878,0.860158,0.426712,-0.470992,0.430079,0.8,1.33017e-15
0.146,0.425888,-1.31786,0.86052,0.425888,-0.470666,0.43026,0.8,1.42711e-15
0.147,0.42506,-1.31695,0.86088,0.42506,-0.470338,0.43044,0.8,1.3398e-15
0.148,0.424228,-1.31602,0.861239,0.424228,-0.470008,0.43062,0.8,1.40032e-15
0.149,0.423392,-1.31509,0.861598,0.423392,-0.469676,0.430799,0.8,1.40336e-15
0.15,0.422553,-1.31416,0.861955,0.422553,-0.469343,0.430978,0.8,1.32302e-15
0.151,0.421709,-1.31322,0.862312,0.421709,-0.469008,0.431156,0.8,1.10084e-15
0.152,0.420862,-1.31228,0.862667,0.420862,-0.468672,0.431334,0.8,1.14477e-15
